DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-11-02 00:00:00,3.7,1211.0,36,13.7,87,917,2.7,1908.4,1840.9
2021-11-02 00:15:00,3.7,1125.0,36,13.7,87,917,2.7,1908.4,1840.9
2021-11-02 00:30:00,3.6,967.0,36,13.6,87,917,2.7,1986.1,2010.0
2021-11-02 00:45:00,3.6,809.0,36,13.6,87,917,2.7,1986.1,2010.0
2021-11-02 01:00:00,3.4,651.0,36,13.5,87,917,2.9,1986.1,2010.0
2021-11-02 01:15:00,3.4,548.0,36,13.5,87,917,2.9,1986.1,2010.0
2021-11-02 01:30:00,3.3,727.0,35,13.5,87,917,2.8,3446.0,1335.2
2021-11-02 01:45:00,3.3,451.0,35,13.6,87,917,2.9,3446.0,1335.2
2021-11-02 02:00:00,3.2,402.0,35,13.6,87,917,2.9,3446.0,1335.2
2021-11-02 02:15:00,3.2,365.0,35,13.6,87,917,2.9,3446.0,1335.2
2021-11-02 02:30:00,3.1,338.0,33,13.6,87,917,2.9,3446.0,1335.2
2021-11-02 02:45:00,3.1,312.0,31,13.6,87,917,2.9,3446.0,2357.2
2021-11-02 03:00:00,3.1,285.0,29,13.6,87,917,2.9,3446.0,2357.2
2021-11-02 03:15:00,3.0,250.0,27,13.6,87,917,2.9,2718.4,2561.3
2021-11-02 03:30:00,2.9,240.0,27,13.6,87,917,2.9,2718.4,2561.3
2021-11-02 03:45:00,2.9,161.0,27,13.5,88,916,2.6,2622.6,2561.3
2021-11-02 04:00:00,2.8,116.0,26,13.5,88,916,2.4,2622.6,2561.3
2021-11-02 04:15:00,2.7,87.0,24,13.5,88,916,2.4,2622.6,2561.3
2021-11-02 04:30:00,2.6,73.0,21,13.5,88,916,2.4,2622.6,2561.3
2021-11-02 04:45:00,2.4,58.0,17,13.4,89,916,2.4,2622.6,2561.3
2021-11-02 05:00:00,2.3,44.0,13,13.4,89,916,2.5,2622.6,2561.3
2021-11-02 05:15:00,2.1,34.0,11,13.4,89,916,2.5,2622.6,2676.1
2021-11-02 05:30:00,2.0,28.0,9,13.5,88,916,2.5,2622.6,2392.9
2021-11-02 05:45:00,1.8,21.0,9,13.5,87,916,2.5,2251.1,2392.9
2021-11-02 06:00:00,1.7,15.0,7,13.6,86,916,2.4,2251.1,2392.9
2021-11-02 06:15:00,1.6,11.0,11,13.6,86,916,2.4,1989.1,2011.6
2021-11-02 06:30:00,1.6,8.0,18,13.6,86,916,2.4,1989.1,2011.6
2021-11-02 06:45:00,1.6,5.0,30,13.6,87,916,2.4,1989.1,2089.4
2021-11-02 07:00:00,1.6,2.0,38,13.6,87,916,2.4,2033.9,1742.2
2021-11-02 07:15:00,1.8,1.0,41,13.7,86,916,2.6,2295.9,2124.9
2021-11-02 07:30:00,2.0,1.0,41,13.9,85,916,2.6,2295.9,2124.9
2021-11-02 07:45:00,2.2,0.0,43,14.0,84,917,4.1,4567.0,2458.7
2021-11-02 08:00:00,2.3,0.0,43,14.2,83,917,4.1,4567.0,2458.7
2021-11-02 08:15:00,2.3,0.0,47,14.5,81,917,4.0,3496.0,2089.3
2021-11-02 08:30:00,2.2,0.0,51,14.8,80,917,4.0,3489.8,2021.2
2021-11-02 08:45:00,2.0,0.0,53,15.1,79,917,4.1,3489.8,2136.1
2021-11-02 09:00:00,1.9,0.0,58,15.4,78,917,3.7,3324.8,2890.9
2021-11-02 09:15:00,2.0,5.0,60,15.6,76,917,2.5,2487.1,1533.5
2021-11-02 09:30:00,2.3,14.0,61,15.9,75,917,2.5,3081.3,1418.6
2021-11-02 09:45:00,2.6,23.0,59,16.2,74,917,2.5,3145.9,1114.2
2021-11-02 10:00:00,2.9,96.0,61,16.5,73,917,2.8,3215.3,1259.1
2021-11-02 10:15:00,3.0,44.0,60,16.7,71,917,2.8,3215.3,2130.3
2021-11-02 10:30:00,3.1,59.0,58,17.0,70,917,2.8,3528.2,2913.5
2021-11-02 10:45:00,3.0,74.0,57,17.2,69,917,2.8,3366.6,2735.7
2021-11-02 11:00:00,3.0,89.0,56,17.5,68,917,2.9,3872.6,3011.1
2021-11-02 11:15:00,3.0,94.0,56,17.7,66,917,2.8,3872.6,3087.5
2021-11-02 11:30:00,2.9,90.0,56,17.9,65,917,2.8,3872.6,3737.9
2021-11-02 11:45:00,2.8,87.0,58,18.0,63,916,2.2,2013.6,2231.0
2021-11-02 12:00:00,2.7,94.0,59,18.2,62,916,2.2,2082.3,2150.3
2021-11-02 12:15:00,2.6,75.0,61,18.4,61,916,2.2,604.8,1536.5
2021-11-02 12:30:00,2.6,64.0,62,18.6,60,916,2.1,604.8,1536.5
2021-11-02 12:45:00,2.6,53.0,65,18.7,59,915,2.3,1376.4,1536.5
2021-11-02 13:00:00,2.6,42.0,67,18.9,58,915,2.4,1376.4,1159.3
2021-11-02 13:15:00,2.6,34.0,67,19.0,58,915,2.4,1376.4,1159.3
2021-11-02 13:30:00,2.6,31.0,69,19.0,58,915,2.4,1376.4,1016.4
2021-11-02 13:45:00,2.7,28.0,70,19.1,58,915,2.4,1387.4,953.7
2021-11-02 14:00:00,2.6,25.0,72,19.1,58,915,2.4,1387.4,953.7
2021-11-02 14:15:00,2.6,24.0,72,19.1,58,915,2.4,1387.4,953.7
